Algorithm,Scenario,PVD,NRMSE
ARIMA,Nor,10,0.0371885 
ARIMA,Nor,25,0.0279149 
ARIMA,Nor,50,0.0262986 
ARIMA,Nor,75,0.0240389 
ARIMA,Nor,100,0.0249633 
RZ,Nor,10,
RZ,Nor,25,
RZ,Nor,50,
RZ,Nor,75,
RZ,Nor,100,
NN,Nor,10,0.0239944 
NN,Nor,25, 0.3374594 
NN,Nor,50, 0.0230887 
NN,Nor,75, 0.0238514
NN,Nor,100, 0.0491041 
ARIMA,Con,10,0.0538967  
ARIMA,Con,25,0.0569831
ARIMA,Con,50,0.0543924 
ARIMA,Con,75, 0.0525718 
ARIMA,Con,100, 0.0529864 
RZ,Con,10,0.1944981  
RZ,Con,25, 0.1944625 
RZ,Con,50, 0.1944688 
RZ,Con,75, 0.1945003 
RZ,Con,100, 0.1944269 
NN,Con,10, 0.0877027 
NN,Con,25,0.3374594
NN,Con,50, 0.0937115
NN,Con,75, 0.0238514
NN,Con,100,0.0491041 
